Order,UID,Barcode,I,year,row,genotype,note,pedigree,field,experiment,sublock,Block,pheno,G,K,DNA,instructions,planting,row length,Plant Number,Germinated plants
2167,22HL_2167,22HL_2167_BGEM-0268-S_BGEM-0268-S,GX,2022,2167,BGEM-0268-S,BGEM_Short_late,BGEM-0268-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2168,22HL_2168,22HL_2168_BGEM-0181-N_21S0614,GX,2022,2168,BGEM-0181-N,BGEM_Short_late,21S0614,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2169,22HL_2169,22HL_2169_BGEM-0120-N_BGEM-0120-N,GX,2022,2169,BGEM-0120-N,BGEM_Short_late,BGEM-0120-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2170,22HL_2170,22HL_2170_MO17_21S0244,GX,2022,2170,MO17,BGEM_Short_late,21S0244,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2171,22HL_2171,22HL_2171_BGEM-0228-N_BGEM-0228-N,GX,2022,2171,BGEM-0228-N,BGEM_Short_late,BGEM-0228-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2172,22HL_2172,22HL_2172_BGEM-0220-S_BGEM-0220-S,GX,2022,2172,BGEM-0220-S,BGEM_Short_late,BGEM-0220-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2173,22HL_2173,22HL_2173_BGEM-0026-S_BGEM-0026-S,GX,2022,2173,BGEM-0026-S,BGEM_Short_late,BGEM-0026-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2174,22HL_2174,22HL_2174_BGEM-0259-N_BGEM-0259-N,GX,2022,2174,BGEM-0259-N,BGEM_Short_late,BGEM-0259-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2175,22HL_2175,22HL_2175_BGEM-0246-N_BGEM-0246-N,GX,2022,2175,BGEM-0246-N,BGEM_Short_late,BGEM-0246-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2176,22HL_2176,22HL_2176_BGEM-0284-N_BGEM-0284-N,GX,2022,2176,BGEM-0284-N,BGEM_Tall_late,BGEM-0284-N,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2177,22HL_2177,22HL_2177_BGEM-0121-N_21S0622,GX,2022,2177,BGEM-0121-N,BGEM_Tall_late,21S0622,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2178,22HL_2178,22HL_2178_BGEM-0019-S_BGEM-0019-S,GX,2022,2178,BGEM-0019-S,BGEM_Tall_late,BGEM-0019-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2179,22HL_2179,22HL_2179_BGEM-0072-S_BGEM-0072-S,GX,2022,2179,BGEM-0072-S,BGEM_Tall_late,BGEM-0072-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2180,22HL_2180,22HL_2180_B73_21S0068,GX,2022,2180,B73,BGEM_Tall_late,21S0068,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2181,22HL_2181,22HL_2181_BGEM-0159-S_BGEM-0159-S,GX,2022,2181,BGEM-0159-S,BGEM_Tall_late,BGEM-0159-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2182,22HL_2182,22HL_2182_BGEM-0208-N_BGEM-0208-N,GX,2022,2182,BGEM-0208-N,BGEM_Tall_late,BGEM-0208-N,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2183,22HL_2183,22HL_2183_BGEM-0021-S_BGEM-0021-S,GX,2022,2183,BGEM-0021-S,BGEM_Tall_late,BGEM-0021-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2184,22HL_2184,22HL_2184_BGEM-0064-N_BGEM-0064-N,GX,2022,2184,BGEM-0064-N,BGEM_Tall_late,BGEM-0064-N,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2185,22HL_2185,22HL_2185_BGEM-0277-S_BGEM-0277-S,GX,2022,2185,BGEM-0277-S,BGEM_Tall_late,BGEM-0277-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2186,22HL_2186,22HL_2186_BGEM-0057-S_BGEM-0057-S,GX,2022,2186,BGEM-0057-S,BGEM_Tall_late,BGEM-0057-S,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2187,22HL_2187,22HL_2187_MO17_21S0244,GX,2022,2187,MO17,BGEM_Tall_late,21S0244,Havelock,LN,sb3,BK2,yes,,20,,Open pollination,,15 FT,,
2188,22HL_2188,22HL_2188_B73_21S0068,GX,2022,2188,B73,BGEM_Tall_early,21S0068,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2189,22HL_2189,22HL_2189_BGEM-0144-N_BGEM-0144-N,GX,2022,2189,BGEM-0144-N,BGEM_Tall_early,BGEM-0144-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2190,22HL_2190,22HL_2190_BGEM-0236-S_BGEM-0236-S,GX,2022,2190,BGEM-0236-S,BGEM_Tall_early,BGEM-0236-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2191,22HL_2191,22HL_2191_BGEM-0171-S_21S0470,GX,2022,2191,BGEM-0171-S,BGEM_Tall_early,21S0470,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2192,22HL_2192,22HL_2192_BGEM-0198-S_BGEM-0198-S,GX,2022,2192,BGEM-0198-S,BGEM_Tall_early,BGEM-0198-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2193,22HL_2193,22HL_2193_BGEM-0049-S_BGEM-0049-S,GX,2022,2193,BGEM-0049-S,BGEM_Tall_early,BGEM-0049-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2194,22HL_2194,22HL_2194_BGEM-0058-N_21S0538,GX,2022,2194,BGEM-0058-N,BGEM_Tall_early,21S0538,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2195,22HL_2195,22HL_2195_BGEM-0007-S_BGEM-0007-S,GX,2022,2195,BGEM-0007-S,BGEM_Tall_early,BGEM-0007-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2196,22HL_2196,22HL_2196_MO17_21S0244,GX,2022,2196,MO17,BGEM_Tall_early,21S0244,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2197,22HL_2197,22HL_2197_BGEM-0125-N_BGEM-0125-N,GX,2022,2197,BGEM-0125-N,BGEM_Tall_early,BGEM-0125-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2198,22HL_2198,22HL_2198_BGEM-0206-N_BGEM-0206-N,GX,2022,2198,BGEM-0206-N,BGEM_Tall_early,BGEM-0206-N,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2199,22HL_2199,22HL_2199_BGEM-0092-S_21S0485,GX,2022,2199,BGEM-0092-S,BGEM_Tall_early,21S0485,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2200,22HL_2200,22HL_2200_BGEM-0280-S_BGEM-0280-S,GX,2022,2200,BGEM-0280-S,BGEM_Tall_early,BGEM-0280-S,Havelock,LN,sb4,BK2,yes,,20,,Open pollination,,15 FT,,
2201,22HL_2201,22HL_2201_BGEM-0281-N_BGEM-0281-N,GX,2022,2201,BGEM-0281-N,BGEM_Short_late,BGEM-0281-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2202,22HL_2202,22HL_2202_BGEM-0073-S_BGEM-0073-S,GX,2022,2202,BGEM-0073-S,BGEM_Short_late,BGEM-0073-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2203,22HL_2203,22HL_2203_B73_21S0068,GX,2022,2203,B73,BGEM_Short_late,21S0068,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2204,22HL_2204,22HL_2204_BGEM-0048-S_BGEM-0048-S,GX,2022,2204,BGEM-0048-S,BGEM_Short_late,BGEM-0048-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2205,22HL_2205,22HL_2205_BGEM-0230-N_BGEM-0230-N,GX,2022,2205,BGEM-0230-N,BGEM_Short_late,BGEM-0230-N,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
2206,22HL_2206,22HL_2206_BGEM-0071-S_BGEM-0071-S,GX,2022,2206,BGEM-0071-S,BGEM_Short_late,BGEM-0071-S,Havelock,LN,sb2,BK2,yes,,20,,Open pollination,,15 FT,,
